B1,B2,B3,B4,A1,A2,A3,A4,,F0
0,0,1,1,1,1,0,1,,0
0,0,1,1,1,1,1,0,,0
0,0,1,1,1,1,1,1,,0
0,1,0,0,0,0,0,0,,0
0,1,0,0,0,0,0,1,,0
0,1,0,0,0,0,1,0,,0
0,1,0,0,0,0,1,1,,0
0,1,0,0,0,1,0,0,,1
0,1,0,0,0,1,0,1,,1
0,1,0,0,0,1,1,0,,1
0,1,0,0,0,1,1,1,,1
0,1,0,0,1,0,0,0,,0
0,1,0,0,1,0,0,1,,0
0,1,0,0,1,0,1,0,,0
0,1,0,0,1,0,1,1,,0
0,1,0,0,1,1,0,0,,0
0,1,0,0,1,1,0,1,,0
0,1,0,0,1,1,1,0,,0
0,1,0,0,1,1,1,1,,0
0,1,0,1,0,0,0,0,,0
0,1,0,1,0,0,0,1,,0
0,1,0,1,0,0,1,0,,0
0,1,0,1,0,0,1,1,,0
0,1,0,1,0,1,0,0,,0
0,1,0,1,0,1,0,1,,1
0,1,0,1,0,1,1,0,,1
0,1,0,1,0,1,1,1,,1
0,1,0,1,1,0,0,0,,1
0,1,0,1,1,0,0,1,,0
0,1,0,1,1,0,1,0,,0
0,1,0,1,1,0,1,1,,0
0,1,0,1,1,1,0,0,,0
0,1,0,1,1,1,0,1,,0
0,1,0,1,1,1,1,0,,0
0,1,0,1,1,1,1,1,,0
0,1,1,0,0,0,0,0,,0
0,1,1,0,0,0,0,1,,0
0,1,1,0,0,0,1,0,,0
0,1,1,0,0,0,1,1,,0
0,1,1,0,0,1,0,0,,0
0,1,1,0,0,1,0,1,,0
0,1,1,0,0,1,1,0,,1
0,1,1,0,0,1,1,1,,1
0,1,1,0,1,0,0,0,,1
0,1,1,0,1,0,0,1,,1
0,1,1,0,1,0,1,0,,0
0,1,1,0,1,0,1,1,,0
0,1,1,0,1,1,0,0,,0
0,1,1,0,1,1,0,1,,0
0,1,1,0,1,1,1,0,,0
0,1,1,0,1,1,1,1,,0
0,1,1,1,0,0,0,0,,0
0,1,1,1,0,0,0,1,,0
0,1,1,1,0,0,1,0,,0
0,1,1,1,0,0,1,1,,0
0,1,1,1,0,1,0,0,,0
0,1,1,1,0,1,0,1,,0
0,1,1,1,0,1,1,0,,0
0,1,1,1,0,1,1,1,,1
0,1,1,1,1,0,0,0,,1
0,1,1,1,1,0,0,1,,1
0,1,1,1,1,0,1,0,,1
0,1,1,1,1,0,1,1,,0
0,1,1,1,1,1,0,0,,0
0,1,1,1,1,1,0,1,,0
0,1,1,1,1,1,1,0,,0
0,1,1,1,1,1,1,1,,0
1,0,0,0,0,0,0,0,,0
1,0,0,0,0,0,0,1,,0
1,0,0,0,0,0,1,0,,0
1,0,0,0,0,0,1,1,,0
1,0,0,0,0,1,0,0,,0
1,0,0,0,0,1,0,1,,0
1,0,0,0,0,1,1,0,,0
1,0,0,0,0,1,1,1,,0
1,0,0,0,1,0,0,0,,1
1,0,0,0,1,0,0,1,,1
1,0,0,0,1,0,1,0,,1
1,0,0,0,1,0,1,1,,1
1,0,0,0,1,1,0,0,,0
1,0,0,0,1,1,0,1,,0
1,0,0,0,1,1,1,0,,0
1,0,0,0,1,1,1,1,,0
1,0,0,1,0,0,0,0,,0
1,0,0,1,0,0,0,1,,0
1,0,0,1,0,0,1,0,,0
1,0,0,1,0,0,1,1,,0
1,0,0,1,0,1,0,0,,0
1,0,0,1,0,1,0,1,,0
1,0,0,1,0,1,1,0,,0
1,0,0,1,0,1,1,1,,0
1,0,0,1,1,0,0,0,,0
1,0,0,1,1,0,0,1,,1
1,0,0,1,1,0,1,0,,1
1,0,0,1,1,0,1,1,,1
1,0,0,1,1,1,0,0,,1
1,0,0,1,1,1,0,1,,0
1,0,0,1,1,1,1,0,,0
1,0,0,1,1,1,1,1,,0
1,0,1,0,0,0,0,0,,0
1,0,1,0,0,0,0,1,,0
1,0,1,0,0,0,1,0,,0
1,0,1,0,0,0,1,1,,0
1,0,1,0,0,1,0,0,,0
1,0,1,0,0,1,0,1,,0
1,0,1,0,0,1,1,0,,0
1,0,1,0,0,1,1,1,,0
1,0,1,0,1,0,0,0,,0
1,0,1,0,1,0,0,1,,0
1,0,1,0,1,0,1,0,,1
1,0,1,0,1,0,1,1,,1
1,0,1,0,1,1,0,0,,1
1,0,1,0,1,1,0,1,,1
1,0,1,0,1,1,1,0,,0
1,0,1,0,1,1,1,1,,0
1,0,1,1,0,0,0,0,,0
1,0,1,1,0,0,0,1,,0
1,0,1,1,0,0,1,0,,0
1,0,1,1,0,0,1,1,,0
1,0,1,1,0,1,0,0,,0
1,0,1,1,0,1,0,1,,0
1,0,1,1,0,1,1,0,,0
1,0,1,1,0,1,1,1,,0
1,0,1,1,1,0,0,0,,0
1,0,1,1,1,0,0,1,,0
1,0,1,1,1,0,1,0,,0
1,0,1,1,1,0,1,1,,1
1,0,1,1,1,1,0,0,,1
1,0,1,1,1,1,0,1,,1
1,0,1,1,1,1,1,0,,1
1,0,1,1,1,1,1,1,,0
1,1,0,0,0,0,0,0,,0
1,1,0,0,0,0,0,1,,0
1,1,0,0,0,0,1,0,,0
1,1,0,0,0,0,1,1,,0
1,1,0,0,0,1,0,0,,0
1,1,0,0,0,1,0,1,,0
1,1,0,0,0,1,1,0,,0
1,1,0,0,0,1,1,1,,0
1,1,0,0,1,0,0,0,,0
1,1,0,0,1,0,0,1,,0
1,1,0,0,1,0,1,0,,0
1,1,0,0,1,0,1,1,,0
1,1,0,0,1,1,0,0,,1
1,1,0,0,1,1,0,1,,1
1,1,0,0,1,1,1,0,,1
1,1,0,0,1,1,1,1,,1
1,1,0,1,0,0,0,0,,X
1,1,0,1,0,0,0,1,,X
1,1,0,1,0,0,1,0,,X
1,1,0,1,0,0,1,1,,X
1,1,0,1,0,1,0,0,,X
1,1,0,1,0,1,0,1,,X
1,1,0,1,0,1,1,0,,X
1,1,0,1,0,1,1,1,,X
1,1,0,1,1,0,0,0,,X
1,1,0,1,1,0,0,1,,X
1,1,0,1,1,0,1,0,,X
1,1,0,1,1,0,1,1,,X
1,1,0,1,1,1,0,0,,X
1,1,0,1,1,1,0,1,,X
1,1,0,1,1,1,1,0,,X
1,1,0,1,1,1,1,1,,X
1,1,1,0,0,0,0,0,,X
1,1,1,0,0,0,0,1,,X
1,1,1,0,0,0,1,0,,X
1,1,1,0,0,0,1,1,,X
1,1,1,0,0,1,0,0,,X
1,1,1,0,0,1,0,1,,X
1,1,1,0,0,1,1,0,,X
1,1,1,0,0,1,1,1,,X
1,1,1,0,1,0,0,0,,X
1,1,1,0,1,0,0,1,,X
1,1,1,0,1,0,1,0,,X
1,1,1,0,1,0,1,1,,X
1,1,1,0,1,1,0,0,,X
1,1,1,0,1,1,0,1,,X
1,1,1,0,1,1,1,0,,X
1,1,1,0,1,1,1,1,,X
1,1,1,1,0,0,0,0,,X
1,1,1,1,0,0,0,1,,X
1,1,1,1,0,0,1,0,,X
1,1,1,1,0,0,1,1,,X
1,1,1,1,0,1,0,0,,X
1,1,1,1,0,1,0,1,,X
1,1,1,1,0,1,1,0,,X
1,1,1,1,0,1,1,1,,X
1,1,1,1,1,0,0,0,,X
1,1,1,1,1,0,0,1,,X
1,1,1,1,1,0,1,0,,X
1,1,1,1,1,0,1,1,,X
1,1,1,1,1,1,0,0,,X
1,1,1,1,1,1,0,1,,X
1,1,1,1,1,1,1,0,,X
1,1,1,1,1,1,1,1,,X
